Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Pneumonia,6,15,26,28,29,49,51,57,59,109,0,0,0,0,0,0,0
Pneumonia,6,15,25,28,29,49,51,57,59,109,0,0,0,0,0,0,0
Pneumonia,6,15,25,26,29,49,51,57,59,109,0,0,0,0,0,0,0
Pneumonia,6,15,25,26,28,49,51,57,59,109,0,0,0,0,0,0,0
Pneumonia,6,15,25,26,28,29,51,57,59,109,0,0,0,0,0,0,0
Dimorphic hemmorhoids(piles),39,60,61,62,63,0,0,0,0,0,0,0,0,0,0,0,0
Dimorphic hemmorhoids(piles),39,60,61,62,63,0,0,0,0,0,0,0,0,0,0,0,0
Dimorphic hemmorhoids(piles),39,60,61,62,63,0,0,0,0,0,0,0,0,0,0,0,0
Dimorphic hemmorhoids(piles),60,61,62,63,0,0,0,0,0,0,0,0,0,0,0,0,0
Dimorphic hemmorhoids(piles),39,61,62,63,0,0,0,0,0,0,0,0,0,0,0,0,0
Dimorphic hemmorhoids(piles),39,60,62,63,0,0,0,0,0,0,0,0,0,0,0,0,0
Dimorphic hemmorhoids(piles),39,60,61,63,0,0,0,0,0,0,0,0,0,0,0,0,0
Dimorphic hemmorhoids(piles),39,60,61,62,0,0,0,0,0,0,0,0,0,0,0,0,0
Dimorphic hemmorhoids(piles),39,60,61,62,63,0,0,0,0,0,0,0,0,0,0,0,0
Dimorphic hemmorhoids(piles),39,60,61,62,63,0,0,0,0,0,0,0,0,0,0,0,0
Heart attack,12,28,29,57,0,0,0,0,0,0,0,0,0,0,0,0,0
Heart attack,12,28,29,57,0,0,0,0,0,0,0,0,0,0,0,0,0
Heart attack,28,29,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heart attack,12,29,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heart attack,12,28,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heart attack,12,28,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heart attack,12,28,29,57,0,0,0,0,0,0,0,0,0,0,0,0,0
Heart attack,28,29,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heart attack,12,29,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heart attack,12,28,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Varicose veins,15,66,67,68,69,70,120,0,0,0,0,0,0,0,0,0,0
Varicose veins,15,66,67,68,69,70,120,0,0,0,0,0,0,0,0,0,0
Varicose veins,66,67,68,69,70,120,0,0,0,0,0,0,0,0,0,0,0
Varicose veins,15,67,68,69,70,120,0,0,0,0,0,0,0,0,0,0,0
Varicose veins,15,66,68,69,70,120,0,0,0,0,0,0,0,0,0,0,0
Varicose veins,15,66,67,69,70,120,0,0,0,0,0,0,0,0,0,0,0
Varicose veins,15,66,67,68,70,120,0,0,0,0,0,0,0,0,0,0,0
Varicose veins,15,66,67,68,69,120,0,0,0,0,0,0,0,0,0,0,0
Varicose veins,15,66,67,68,69,70,0,0,0,0,0,0,0,0,0,0,0
Varicose veins,15,66,67,68,69,120,0,0,0,0,0,0,0,0,0,0,0
Hypothyroidism,15,16,18,19,22,65,71,72,73,74,96,97,102,0,0,0,0
Hypothyroidism,15,16,18,19,22,65,71,72,73,74,96,97,102,0,0,0,0
Hypothyroidism,16,18,19,22,65,71,72,73,74,96,97,102,0,0,0,0,0
Hypothyroidism,16,18,19,22,65,71,72,73,74,96,97,102,0,0,0,0,0
Hypothyroidism,15,18,19,22,65,71,72,73,74,96,97,102,0,0,0,0,0
Hypothyroidism,15,16,19,22,65,71,72,73,74,96,97,102,0,0,0,0,0
Hypothyroidism,15,16,18,22,65,71,72,73,74,96,97,102,0,0,0,0,0
Hypothyroidism,15,16,18,19,65,71,72,73,74,96,97,102,0,0,0,0,0
Hypothyroidism,15,16,18,19,22,71,72,73,74,96,97,102,0,0,0,0,0
Hypothyroidism,15,16,18,19,22,65,72,73,74,96,97,102,0,0,0,0,0
Hyperthyroidism,15,19,20,21,29,41,59,75,81,97,102,0,0,0,0,0,0
Hyperthyroidism,15,19,20,21,29,41,59,75,81,97,102,0,0,0,0,0,0
Hyperthyroidism,19,20,21,29,41,59,75,81,97,102,0,0,0,0,0,0,0
Hyperthyroidism,15,20,21,29,41,59,75,81,97,102,0,0,0,0,0,0,0
Hyperthyroidism,15,19,21,29,41,59,75,81,97,102,0,0,0,0,0,0,0
Hyperthyroidism,15,19,20,29,41,59,75,81,97,102,0,0,0,0,0,0,0
Hyperthyroidism,15,19,20,21,41,59,75,81,97,102,0,0,0,0,0,0,0
